Indicator,Unemployment rate by Total
Source,"Bureau of Labor Statistics<br />
<br />
Suggested Citation:<br />
SHADAC analysis of [DATA SOURCE], State Health Compare, SHADAC, University of Minnesota, statehealthcompare.shadac.org, Accessed [DATE]."
Notes,"Estimates represent the percent of the civilian labor force (age 16 and older) that was unemployed. A person is considered unemployed if they do not have a job, have actively looked for work in the prior 4 weeks, and are currently available for work. State refers to place of residence. N/A indicates that the estimates are not available because they did not meet the Bureau of Labor Statistics' publication standard of reliability or were otherwise unavailable."
Description,Annual average rate of unemployment.


Fips,Location,TimeFrame,Data Type,Data,MOE
US,United States,2008,Percent,0.058,N/A
US,United States,2009,Percent,0.093,N/A
US,United States,2010,Percent,0.096,N/A
US,United States,2011,Percent,0.089,N/A
US,United States,2012,Percent,0.081,N/A
US,United States,2013,Percent,0.074,N/A
US,United States,2014,Percent,0.062,N/A
US,United States,2015,Percent,0.053,N/A
US,United States,2006,Percent,0.046,N/A
US,United States,2007,Percent,0.046,N/A
US,United States,2016,Percent,0.049,N/A
US,United States,2017,Percent,0.044,N/A
US,United States,2018,Percent,0.039,N/A
US,United States,2020,Percent,0.081,N/A
US,United States,2021,Percent,0.053,N/A
US,United States,2022,Percent,0.036,N/A
US,United States,2023,Percent,0.036,N/A
US,United States,2019,Percent,0.037,N/A
US,United States,2024,Percent,0.04,N/A
01,Alabama,2024,Percent,0.031,N/A
01,Alabama,2023,Percent,0.025,N/A
01,Alabama,2022,Percent,0.026,N/A
01,Alabama,2021,Percent,0.034,N/A
01,Alabama,2018,Percent,0.039,N/A
01,Alabama,2019,Percent,0.03,N/A
01,Alabama,2020,Percent,0.059,N/A
01,Alabama,2017,Percent,0.044,N/A
01,Alabama,2016,Percent,0.06,N/A
01,Alabama,2006,Percent,0.035,N/A
01,Alabama,2007,Percent,0.034,N/A
01,Alabama,2015,Percent,0.061,N/A
01,Alabama,2013,Percent,0.072,N/A
01,Alabama,2014,Percent,0.068,N/A
01,Alabama,2011,Percent,0.087,N/A
01,Alabama,2012,Percent,0.073,N/A
01,Alabama,2009,Percent,0.098,N/A
01,Alabama,2010,Percent,0.093,N/A
01,Alabama,2008,Percent,0.05,N/A
02,Alaska,2008,Percent,0.064,N/A
02,Alaska,2010,Percent,0.08,N/A
02,Alaska,2012,Percent,0.07,N/A
02,Alaska,2011,Percent,0.076,N/A
02,Alaska,2009,Percent,0.077,N/A
02,Alaska,2014,Percent,0.068,N/A
02,Alaska,2013,Percent,0.069,N/A
02,Alaska,2006,Percent,0.065,N/A
02,Alaska,2015,Percent,0.065,N/A
02,Alaska,2016,Percent,0.066,N/A
02,Alaska,2017,Percent,0.072,N/A
02,Alaska,2020,Percent,0.078,N/A
02,Alaska,2019,Percent,0.061,N/A
02,Alaska,2018,Percent,0.066,N/A
02,Alaska,2021,Percent,0.064,N/A
02,Alaska,2022,Percent,0.04,N/A
02,Alaska,2023,Percent,0.042,N/A
02,Alaska,2024,Percent,0.046,N/A
02,Alaska,2007,Percent,0.061,N/A
04,Arizona,2007,Percent,0.037,N/A
04,Arizona,2024,Percent,0.036,N/A
04,Arizona,2023,Percent,0.039,N/A
04,Arizona,2022,Percent,0.038,N/A
04,Arizona,2021,Percent,0.049,N/A
04,Arizona,2018,Percent,0.048,N/A
04,Arizona,2019,Percent,0.047,N/A
04,Arizona,2020,Percent,0.079,N/A
04,Arizona,2017,Percent,0.049,N/A
04,Arizona,2016,Percent,0.053,N/A
04,Arizona,2015,Percent,0.061,N/A
04,Arizona,2006,Percent,0.041,N/A
04,Arizona,2013,Percent,0.078,N/A
04,Arizona,2014,Percent,0.069,N/A
04,Arizona,2009,Percent,0.098,N/A
04,Arizona,2011,Percent,0.094,N/A
04,Arizona,2012,Percent,0.083,N/A
04,Arizona,2010,Percent,0.104,N/A
04,Arizona,2008,Percent,0.06,N/A
05,Arkansas,2008,Percent,0.054,N/A
05,Arkansas,2010,Percent,0.079,N/A
05,Arkansas,2009,Percent,0.075,N/A
05,Arkansas,2012,Percent,0.073,N/A
05,Arkansas,2011,Percent,0.079,N/A
05,Arkansas,2014,Percent,0.061,N/A
05,Arkansas,2013,Percent,0.074,N/A
05,Arkansas,2006,Percent,0.053,N/A
05,Arkansas,2015,Percent,0.052,N/A
05,Arkansas,2016,Percent,0.04,N/A
05,Arkansas,2017,Percent,0.037,N/A
05,Arkansas,2020,Percent,0.061,N/A
05,Arkansas,2019,Percent,0.035,N/A
05,Arkansas,2018,Percent,0.037,N/A
05,Arkansas,2021,Percent,0.04,N/A
05,Arkansas,2022,Percent,0.033,N/A
05,Arkansas,2023,Percent,0.033,N/A
05,Arkansas,2024,Percent,0.035,N/A
05,Arkansas,2007,Percent,0.053,N/A
06,California,2007,Percent,0.054,N/A
06,California,2024,Percent,0.053,N/A
06,California,2023,Percent,0.048,N/A
06,California,2022,Percent,0.042,N/A
06,California,2021,Percent,0.073,N/A
06,California,2018,Percent,0.042,N/A
06,California,2019,Percent,0.04,N/A
06,California,2020,Percent,0.101,N/A
06,California,2017,Percent,0.048,N/A
06,California,2016,Percent,0.054,N/A
06,California,2015,Percent,0.062,N/A
06,California,2006,Percent,0.049,N/A
06,California,2013,Percent,0.089,N/A
06,California,2014,Percent,0.075,N/A
06,California,2011,Percent,0.118,N/A
06,California,2012,Percent,0.105,N/A
06,California,2009,Percent,0.113,N/A
06,California,2010,Percent,0.124,N/A
06,California,2008,Percent,0.072,N/A
08,Colorado,2008,Percent,0.048,N/A
08,Colorado,2010,Percent,0.09,N/A
08,Colorado,2009,Percent,0.081,N/A
08,Colorado,2012,Percent,0.08,N/A
08,Colorado,2011,Percent,0.086,N/A
08,Colorado,2014,Percent,0.05,N/A
08,Colorado,2013,Percent,0.068,N/A
08,Colorado,2006,Percent,0.043,N/A
08,Colorado,2015,Percent,0.039,N/A
08,Colorado,2016,Percent,0.033,N/A
08,Colorado,2017,Percent,0.028,N/A
08,Colorado,2020,Percent,0.073,N/A
08,Colorado,2019,Percent,0.028,N/A
08,Colorado,2018,Percent,0.033,N/A
08,Colorado,2021,Percent,0.054,N/A
08,Colorado,2022,Percent,0.03,N/A
08,Colorado,2023,Percent,0.032,N/A
08,Colorado,2024,Percent,0.043,N/A
08,Colorado,2007,Percent,0.038,N/A
09,Connecticut,2024,Percent,0.032,N/A
09,Connecticut,2023,Percent,0.038,N/A
09,Connecticut,2022,Percent,0.042,N/A
09,Connecticut,2021,Percent,0.063,N/A
09,Connecticut,2018,Percent,0.041,N/A
09,Connecticut,2007,Percent,0.046,N/A
09,Connecticut,2019,Percent,0.037,N/A
09,Connecticut,2020,Percent,0.079,N/A
09,Connecticut,2017,Percent,0.047,N/A
09,Connecticut,2016,Percent,0.051,N/A
09,Connecticut,2015,Percent,0.056,N/A
09,Connecticut,2006,Percent,0.044,N/A
09,Connecticut,2013,Percent,0.077,N/A
09,Connecticut,2014,Percent,0.066,N/A
09,Connecticut,2011,Percent,0.089,N/A
09,Connecticut,2012,Percent,0.084,N/A
09,Connecticut,2009,Percent,0.082,N/A
09,Connecticut,2010,Percent,0.093,N/A
09,Connecticut,2008,Percent,0.056,N/A
10,Delaware,2008,Percent,0.049,N/A
10,Delaware,2010,Percent,0.08,N/A
10,Delaware,2009,Percent,0.079,N/A
10,Delaware,2012,Percent,0.071,N/A
10,Delaware,2011,Percent,0.074,N/A
10,Delaware,2014,Percent,0.057,N/A
10,Delaware,2013,Percent,0.067,N/A
10,Delaware,2006,Percent,0.035,N/A
10,Delaware,2015,Percent,0.049,N/A
10,Delaware,2016,Percent,0.044,N/A
10,Delaware,2017,Percent,0.046,N/A
10,Delaware,2020,Percent,0.078,N/A
10,Delaware,2019,Percent,0.038,N/A
10,Delaware,2007,Percent,0.035,N/A
10,Delaware,2018,Percent,0.038,N/A
10,Delaware,2021,Percent,0.053,N/A
10,Delaware,2022,Percent,0.045,N/A
10,Delaware,2023,Percent,0.04,N/A
10,Delaware,2024,Percent,0.037,N/A
11,Dist. of Columbia,2024,Percent,0.052,N/A
11,Dist. of Columbia,2023,Percent,0.049,N/A
11,Dist. of Columbia,2022,Percent,0.047,N/A
11,Dist. of Columbia,2021,Percent,0.066,N/A
11,Dist. of Columbia,2018,Percent,0.056,N/A
11,Dist. of Columbia,2007,Percent,0.055,N/A
11,Dist. of Columbia,2019,Percent,0.055,N/A
11,Dist. of Columbia,2020,Percent,0.08,N/A
11,Dist. of Columbia,2017,Percent,0.061,N/A
11,Dist. of Columbia,2016,Percent,0.06,N/A
11,Dist. of Columbia,2015,Percent,0.069,N/A
11,Dist. of Columbia,2006,Percent,0.057,N/A
11,Dist. of Columbia,2013,Percent,0.085,N/A
11,Dist. of Columbia,2014,Percent,0.078,N/A
11,Dist. of Columbia,2011,Percent,0.101,N/A
11,Dist. of Columbia,2012,Percent,0.089,N/A
11,Dist. of Columbia,2009,Percent,0.097,N/A
11,Dist. of Columbia,2010,Percent,0.1,N/A
11,Dist. of Columbia,2008,Percent,0.066,N/A
12,Florida,2008,Percent,0.063,N/A
12,Florida,2010,Percent,0.113,N/A
12,Florida,2009,Percent,0.104,N/A
12,Florida,2012,Percent,0.086,N/A
12,Florida,2011,Percent,0.103,N/A
12,Florida,2014,Percent,0.063,N/A
12,Florida,2013,Percent,0.073,N/A
12,Florida,2015,Percent,0.054,N/A
12,Florida,2006,Percent,0.033,N/A
12,Florida,2016,Percent,0.049,N/A
12,Florida,2017,Percent,0.042,N/A
12,Florida,2020,Percent,0.077,N/A
12,Florida,2019,Percent,0.031,N/A
12,Florida,2007,Percent,0.04,N/A
12,Florida,2018,Percent,0.036,N/A
12,Florida,2021,Percent,0.046,N/A
12,Florida,2022,Percent,0.029,N/A
12,Florida,2023,Percent,0.029,N/A
12,Florida,2024,Percent,0.034,N/A
13,Georgia,2024,Percent,0.035,N/A
13,Georgia,2023,Percent,0.032,N/A
13,Georgia,2022,Percent,0.03,N/A
13,Georgia,2021,Percent,0.039,N/A
13,Georgia,2018,Percent,0.039,N/A
13,Georgia,2007,Percent,0.046,N/A
13,Georgia,2019,Percent,0.034,N/A
13,Georgia,2020,Percent,0.065,N/A
13,Georgia,2017,Percent,0.047,N/A
13,Georgia,2016,Percent,0.054,N/A
13,Georgia,2006,Percent,0.047,N/A
13,Georgia,2015,Percent,0.059,N/A
13,Georgia,2013,Percent,0.082,N/A
13,Georgia,2014,Percent,0.072,N/A
13,Georgia,2011,Percent,0.099,N/A
13,Georgia,2012,Percent,0.09,N/A
13,Georgia,2009,Percent,0.098,N/A
13,Georgia,2010,Percent,0.102,N/A
13,Georgia,2008,Percent,0.063,N/A
15,Hawaii,2008,Percent,0.041,N/A
15,Hawaii,2010,Percent,0.068,N/A
15,Hawaii,2009,Percent,0.069,N/A
15,Hawaii,2012,Percent,0.058,N/A
15,Hawaii,2011,Percent,0.065,N/A
15,Hawaii,2014,Percent,0.044,N/A
15,Hawaii,2013,Percent,0.048,N/A
15,Hawaii,2015,Percent,0.036,N/A
15,Hawaii,2006,Percent,0.025,N/A
15,Hawaii,2016,Percent,0.03,N/A
15,Hawaii,2017,Percent,0.024,N/A
15,Hawaii,2020,Percent,0.116,N/A
15,Hawaii,2019,Percent,0.027,N/A
15,Hawaii,2007,Percent,0.027,N/A
15,Hawaii,2018,Percent,0.024,N/A
15,Hawaii,2021,Percent,0.057,N/A
15,Hawaii,2022,Percent,0.035,N/A
15,Hawaii,2023,Percent,0.03,N/A
15,Hawaii,2024,Percent,0.03,N/A
16,Idaho,2024,Percent,0.037,N/A
16,Idaho,2023,Percent,0.031,N/A
16,Idaho,2022,Percent,0.027,N/A
16,Idaho,2021,Percent,0.036,N/A
16,Idaho,2018,Percent,0.028,N/A
16,Idaho,2007,Percent,0.03,N/A
16,Idaho,2019,Percent,0.029,N/A
16,Idaho,2020,Percent,0.054,N/A
16,Idaho,2017,Percent,0.032,N/A
16,Idaho,2016,Percent,0.038,N/A
16,Idaho,2006,Percent,0.03,N/A
16,Idaho,2015,Percent,0.041,N/A
16,Idaho,2013,Percent,0.061,N/A
16,Idaho,2014,Percent,0.048,N/A
16,Idaho,2011,Percent,0.083,N/A
16,Idaho,2012,Percent,0.071,N/A
16,Idaho,2009,Percent,0.075,N/A
16,Idaho,2010,Percent,0.087,N/A
16,Idaho,2008,Percent,0.048,N/A
17,Illinois,2008,Percent,0.064,N/A
17,Illinois,2010,Percent,0.104,N/A
17,Illinois,2009,Percent,0.1,N/A
17,Illinois,2012,Percent,0.089,N/A
17,Illinois,2011,Percent,0.097,N/A
17,Illinois,2014,Percent,0.071,N/A
17,Illinois,2013,Percent,0.091,N/A
17,Illinois,2015,Percent,0.059,N/A
17,Illinois,2006,Percent,0.046,N/A
17,Illinois,2016,Percent,0.059,N/A
17,Illinois,2017,Percent,0.05,N/A
17,Illinois,2020,Percent,0.095,N/A
17,Illinois,2019,Percent,0.04,N/A
17,Illinois,2007,Percent,0.051,N/A
17,Illinois,2018,Percent,0.043,N/A
17,Illinois,2021,Percent,0.061,N/A
17,Illinois,2022,Percent,0.046,N/A
17,Illinois,2023,Percent,0.045,N/A
17,Illinois,2024,Percent,0.05,N/A
18,Indiana,2024,Percent,0.042,N/A
18,Indiana,2023,Percent,0.033,N/A
18,Indiana,2022,Percent,0.03,N/A
18,Indiana,2021,Percent,0.036,N/A
18,Indiana,2018,Percent,0.034,N/A
18,Indiana,2007,Percent,0.046,N/A
18,Indiana,2019,Percent,0.033,N/A
18,Indiana,2020,Percent,0.071,N/A
18,Indiana,2017,Percent,0.035,N/A
18,Indiana,2016,Percent,0.044,N/A
18,Indiana,2006,Percent,0.05,N/A
18,Indiana,2015,Percent,0.048,N/A
18,Indiana,2013,Percent,0.077,N/A
18,Indiana,2014,Percent,0.06,N/A
18,Indiana,2011,Percent,0.09,N/A
18,Indiana,2012,Percent,0.084,N/A
18,Indiana,2009,Percent,0.104,N/A
18,Indiana,2010,Percent,0.101,N/A
18,Indiana,2008,Percent,0.058,N/A
19,Iowa,2008,Percent,0.04,N/A
19,Iowa,2010,Percent,0.063,N/A
19,Iowa,2009,Percent,0.062,N/A
19,Iowa,2012,Percent,0.052,N/A
19,Iowa,2011,Percent,0.059,N/A
19,Iowa,2014,Percent,0.044,N/A
19,Iowa,2013,Percent,0.048,N/A
19,Iowa,2015,Percent,0.037,N/A
19,Iowa,2006,Percent,0.037,N/A
19,Iowa,2016,Percent,0.037,N/A
19,Iowa,2017,Percent,0.031,N/A
19,Iowa,2020,Percent,0.053,N/A
19,Iowa,2019,Percent,0.027,N/A
19,Iowa,2007,Percent,0.038,N/A
19,Iowa,2018,Percent,0.025,N/A
19,Iowa,2021,Percent,0.042,N/A
19,Iowa,2022,Percent,0.027,N/A
19,Iowa,2023,Percent,0.029,N/A
19,Iowa,2024,Percent,0.03,N/A
20,Kansas,2024,Percent,0.036,N/A
20,Kansas,2023,Percent,0.027,N/A
20,Kansas,2022,Percent,0.027,N/A
20,Kansas,2021,Percent,0.032,N/A
20,Kansas,2018,Percent,0.034,N/A
20,Kansas,2007,Percent,0.041,N/A
20,Kansas,2019,Percent,0.032,N/A
20,Kansas,2020,Percent,0.059,N/A
20,Kansas,2017,Percent,0.036,N/A
20,Kansas,2016,Percent,0.042,N/A
20,Kansas,2006,Percent,0.044,N/A
20,Kansas,2015,Percent,0.042,N/A
20,Kansas,2013,Percent,0.053,N/A
20,Kansas,2014,Percent,0.045,N/A
20,Kansas,2011,Percent,0.065,N/A
20,Kansas,2012,Percent,0.057,N/A
20,Kansas,2009,Percent,0.071,N/A
20,Kansas,2010,Percent,0.071,N/A
20,Kansas,2008,Percent,0.044,N/A
21,Kentucky,2008,Percent,0.066,N/A
21,Kentucky,2010,Percent,0.102,N/A
21,Kentucky,2009,Percent,0.103,N/A
21,Kentucky,2012,Percent,0.082,N/A
21,Kentucky,2011,Percent,0.095,N/A
21,Kentucky,2014,Percent,0.065,N/A
21,Kentucky,2013,Percent,0.08,N/A
21,Kentucky,2015,Percent,0.054,N/A
21,Kentucky,2006,Percent,0.059,N/A
21,Kentucky,2016,Percent,0.05,N/A
21,Kentucky,2017,Percent,0.049,N/A
21,Kentucky,2020,Percent,0.066,N/A
21,Kentucky,2019,Percent,0.043,N/A
21,Kentucky,2007,Percent,0.056,N/A
21,Kentucky,2018,Percent,0.043,N/A
21,Kentucky,2021,Percent,0.047,N/A
21,Kentucky,2022,Percent,0.039,N/A
21,Kentucky,2023,Percent,0.042,N/A
21,Kentucky,2024,Percent,0.051,N/A
22,Louisiana,2024,Percent,0.044,N/A
22,Louisiana,2023,Percent,0.037,N/A
22,Louisiana,2022,Percent,0.037,N/A
22,Louisiana,2021,Percent,0.055,N/A
22,Louisiana,2018,Percent,0.049,N/A
22,Louisiana,2007,Percent,0.038,N/A
22,Louisiana,2019,Percent,0.048,N/A
22,Louisiana,2020,Percent,0.083,N/A
22,Louisiana,2017,Percent,0.051,N/A
22,Louisiana,2016,Percent,0.061,N/A
22,Louisiana,2006,Percent,0.039,N/A
22,Louisiana,2015,Percent,0.063,N/A
22,Louisiana,2013,Percent,0.067,N/A
22,Louisiana,2014,Percent,0.064,N/A
22,Louisiana,2011,Percent,0.073,N/A
22,Louisiana,2012,Percent,0.064,N/A
22,Louisiana,2009,Percent,0.066,N/A
22,Louisiana,2010,Percent,0.074,N/A
22,Louisiana,2008,Percent,0.044,N/A
23,Maine,2008,Percent,0.054,N/A
23,Maine,2010,Percent,0.082,N/A
23,Maine,2009,Percent,0.081,N/A
23,Maine,2012,Percent,0.073,N/A
23,Maine,2011,Percent,0.077,N/A
23,Maine,2014,Percent,0.057,N/A
23,Maine,2013,Percent,0.066,N/A
23,Maine,2015,Percent,0.044,N/A
23,Maine,2006,Percent,0.047,N/A
23,Maine,2016,Percent,0.039,N/A
23,Maine,2017,Percent,0.033,N/A
23,Maine,2020,Percent,0.054,N/A
23,Maine,2019,Percent,0.03,N/A
23,Maine,2007,Percent,0.047,N/A
23,Maine,2018,Percent,0.034,N/A
23,Maine,2021,Percent,0.046,N/A
23,Maine,2022,Percent,0.03,N/A
23,Maine,2023,Percent,0.029,N/A
23,Maine,2024,Percent,0.031,N/A
24,Maryland,2024,Percent,0.03,N/A
24,Maryland,2023,Percent,0.021,N/A
24,Maryland,2022,Percent,0.032,N/A
24,Maryland,2021,Percent,0.058,N/A
24,Maryland,2018,Percent,0.039,N/A
24,Maryland,2007,Percent,0.034,N/A
24,Maryland,2019,Percent,0.036,N/A
24,Maryland,2020,Percent,0.068,N/A
24,Maryland,2017,Percent,0.041,N/A
24,Maryland,2016,Percent,0.043,N/A
24,Maryland,2006,Percent,0.038,N/A
24,Maryland,2015,Percent,0.052,N/A
24,Maryland,2013,Percent,0.066,N/A
24,Maryland,2014,Percent,0.058,N/A
24,Maryland,2011,Percent,0.073,N/A
24,Maryland,2012,Percent,0.068,N/A
24,Maryland,2009,Percent,0.074,N/A
24,Maryland,2010,Percent,0.078,N/A
24,Maryland,2008,Percent,0.043,N/A
25,Massachusetts,2008,Percent,0.053,N/A
25,Massachusetts,2010,Percent,0.083,N/A
25,Massachusetts,2009,Percent,0.082,N/A
25,Massachusetts,2012,Percent,0.067,N/A
25,Massachusetts,2011,Percent,0.073,N/A
25,Massachusetts,2014,Percent,0.058,N/A
25,Massachusetts,2013,Percent,0.067,N/A
25,Massachusetts,2015,Percent,0.05,N/A
25,Massachusetts,2006,Percent,0.048,N/A
25,Massachusetts,2016,Percent,0.037,N/A
25,Massachusetts,2017,Percent,0.037,N/A
25,Massachusetts,2020,Percent,0.089,N/A
25,Massachusetts,2019,Percent,0.029,N/A
25,Massachusetts,2007,Percent,0.045,N/A
25,Massachusetts,2018,Percent,0.033,N/A
25,Massachusetts,2021,Percent,0.057,N/A
25,Massachusetts,2022,Percent,0.038,N/A
25,Massachusetts,2023,Percent,0.034,N/A
25,Massachusetts,2024,Percent,0.04,N/A
26,Michigan,2024,Percent,0.047,N/A
26,Michigan,2023,Percent,0.039,N/A
26,Michigan,2022,Percent,0.042,N/A
26,Michigan,2021,Percent,0.059,N/A
26,Michigan,2018,Percent,0.041,N/A
26,Michigan,2007,Percent,0.071,N/A
26,Michigan,2019,Percent,0.041,N/A
26,Michigan,2020,Percent,0.099,N/A
26,Michigan,2017,Percent,0.046,N/A
26,Michigan,2016,Percent,0.049,N/A
26,Michigan,2006,Percent,0.069,N/A
26,Michigan,2015,Percent,0.054,N/A
26,Michigan,2013,Percent,0.087,N/A
26,Michigan,2014,Percent,0.073,N/A
26,Michigan,2011,Percent,0.104,N/A
26,Michigan,2012,Percent,0.091,N/A
26,Michigan,2009,Percent,0.134,N/A
26,Michigan,2010,Percent,0.127,N/A
26,Michigan,2008,Percent,0.083,N/A
27,Minnesota,2008,Percent,0.054,N/A
27,Minnesota,2010,Percent,0.074,N/A
27,Minnesota,2009,Percent,0.08,N/A
27,Minnesota,2012,Percent,0.056,N/A
27,Minnesota,2011,Percent,0.065,N/A
27,Minnesota,2014,Percent,0.041,N/A
27,Minnesota,2013,Percent,0.049,N/A
27,Minnesota,2015,Percent,0.037,N/A
27,Minnesota,2006,Percent,0.041,N/A
27,Minnesota,2016,Percent,0.039,N/A
27,Minnesota,2017,Percent,0.035,N/A
27,Minnesota,2020,Percent,0.062,N/A
27,Minnesota,2019,Percent,0.032,N/A
27,Minnesota,2007,Percent,0.047,N/A
27,Minnesota,2018,Percent,0.029,N/A
27,Minnesota,2021,Percent,0.034,N/A
27,Minnesota,2022,Percent,0.027,N/A
27,Minnesota,2023,Percent,0.028,N/A
27,Minnesota,2024,Percent,0.03,N/A
28,Mississippi,2024,Percent,0.032,N/A
28,Mississippi,2023,Percent,0.032,N/A
28,Mississippi,2022,Percent,0.039,N/A
28,Mississippi,2021,Percent,0.056,N/A
28,Mississippi,2018,Percent,0.048,N/A
28,Mississippi,2007,Percent,0.063,N/A
28,Mississippi,2019,Percent,0.054,N/A
28,Mississippi,2020,Percent,0.081,N/A
28,Mississippi,2017,Percent,0.051,N/A
28,Mississippi,2016,Percent,0.058,N/A
28,Mississippi,2006,Percent,0.068,N/A
28,Mississippi,2015,Percent,0.065,N/A
28,Mississippi,2013,Percent,0.087,N/A
