Indicator,Unemployment rate by Total
28,Mississippi,2014,Percent,0.078,N/A
28,Mississippi,2011,Percent,0.105,N/A
28,Mississippi,2012,Percent,0.092,N/A
28,Mississippi,2009,Percent,0.094,N/A
28,Mississippi,2010,Percent,0.105,N/A
28,Mississippi,2008,Percent,0.068,N/A
29,Missouri,2008,Percent,0.059,N/A
29,Missouri,2010,Percent,0.093,N/A
29,Missouri,2009,Percent,0.094,N/A
29,Missouri,2012,Percent,0.069,N/A
29,Missouri,2011,Percent,0.084,N/A
29,Missouri,2014,Percent,0.061,N/A
29,Missouri,2013,Percent,0.067,N/A
29,Missouri,2015,Percent,0.05,N/A
29,Missouri,2006,Percent,0.048,N/A
29,Missouri,2016,Percent,0.045,N/A
29,Missouri,2017,Percent,0.038,N/A
29,Missouri,2020,Percent,0.061,N/A
29,Missouri,2019,Percent,0.033,N/A
29,Missouri,2007,Percent,0.05,N/A
29,Missouri,2018,Percent,0.032,N/A
29,Missouri,2021,Percent,0.044,N/A
29,Missouri,2022,Percent,0.025,N/A
29,Missouri,2023,Percent,0.03,N/A
29,Missouri,2024,Percent,0.037,N/A
30,Montana,2024,Percent,0.03,N/A
30,Montana,2023,Percent,0.029,N/A
30,Montana,2022,Percent,0.026,N/A
30,Montana,2021,Percent,0.034,N/A
30,Montana,2018,Percent,0.037,N/A
30,Montana,2007,Percent,0.034,N/A
30,Montana,2019,Percent,0.035,N/A
30,Montana,2020,Percent,0.059,N/A
30,Montana,2017,Percent,0.04,N/A
30,Montana,2016,Percent,0.041,N/A
30,Montana,2006,Percent,0.032,N/A
30,Montana,2015,Percent,0.041,N/A
30,Montana,2013,Percent,0.054,N/A
30,Montana,2014,Percent,0.047,N/A
30,Montana,2011,Percent,0.066,N/A
30,Montana,2012,Percent,0.06,N/A
30,Montana,2009,Percent,0.06,N/A
30,Montana,2010,Percent,0.068,N/A
30,Montana,2008,Percent,0.045,N/A
31,Nebraska,2008,Percent,0.033,N/A
31,Nebraska,2010,Percent,0.047,N/A
31,Nebraska,2009,Percent,0.047,N/A
31,Nebraska,2012,Percent,0.039,N/A
31,Nebraska,2011,Percent,0.045,N/A
31,Nebraska,2014,Percent,0.033,N/A
31,Nebraska,2013,Percent,0.038,N/A
31,Nebraska,2015,Percent,0.03,N/A
31,Nebraska,2006,Percent,0.03,N/A
31,Nebraska,2016,Percent,0.032,N/A
31,Nebraska,2017,Percent,0.029,N/A
31,Nebraska,2020,Percent,0.042,N/A
31,Nebraska,2019,Percent,0.03,N/A
31,Nebraska,2007,Percent,0.03,N/A
31,Nebraska,2018,Percent,0.028,N/A
31,Nebraska,2021,Percent,0.025,N/A
31,Nebraska,2022,Percent,0.023,N/A
31,Nebraska,2023,Percent,0.023,N/A
31,Nebraska,2024,Percent,0.028,N/A
32,Nevada,2024,Percent,0.056,N/A
32,Nevada,2023,Percent,0.051,N/A
32,Nevada,2022,Percent,0.054,N/A
32,Nevada,2021,Percent,0.072,N/A
32,Nevada,2018,Percent,0.046,N/A
32,Nevada,2007,Percent,0.047,N/A
32,Nevada,2019,Percent,0.039,N/A
32,Nevada,2020,Percent,0.128,N/A
32,Nevada,2017,Percent,0.05,N/A
32,Nevada,2016,Percent,0.057,N/A
32,Nevada,2006,Percent,0.042,N/A
32,Nevada,2015,Percent,0.067,N/A
32,Nevada,2013,Percent,0.095,N/A
32,Nevada,2014,Percent,0.078,N/A
32,Nevada,2011,Percent,0.132,N/A
32,Nevada,2012,Percent,0.111,N/A
32,Nevada,2009,Percent,0.117,N/A
32,Nevada,2010,Percent,0.138,N/A
32,Nevada,2008,Percent,0.071,N/A
33,New Hampshire,2008,Percent,0.039,N/A
33,New Hampshire,2010,Percent,0.061,N/A
33,New Hampshire,2009,Percent,0.062,N/A
33,New Hampshire,2012,Percent,0.055,N/A
33,New Hampshire,2011,Percent,0.055,N/A
33,New Hampshire,2014,Percent,0.043,N/A
33,New Hampshire,2013,Percent,0.051,N/A
33,New Hampshire,2015,Percent,0.034,N/A
33,New Hampshire,2006,Percent,0.035,N/A
33,New Hampshire,2016,Percent,0.028,N/A
33,New Hampshire,2017,Percent,0.027,N/A
33,New Hampshire,2020,Percent,0.067,N/A
33,New Hampshire,2019,Percent,0.025,N/A
33,New Hampshire,2007,Percent,0.035,N/A
33,New Hampshire,2018,Percent,0.025,N/A
33,New Hampshire,2021,Percent,0.035,N/A
33,New Hampshire,2022,Percent,0.025,N/A
33,New Hampshire,2023,Percent,0.022,N/A
33,New Hampshire,2024,Percent,0.026,N/A
34,New Jersey,2024,Percent,0.045,N/A
34,New Jersey,2023,Percent,0.044,N/A
34,New Jersey,2022,Percent,0.037,N/A
34,New Jersey,2021,Percent,0.063,N/A
34,New Jersey,2018,Percent,0.041,N/A
34,New Jersey,2019,Percent,0.036,N/A
34,New Jersey,2020,Percent,0.098,N/A
34,New Jersey,2017,Percent,0.046,N/A
34,New Jersey,2016,Percent,0.05,N/A
34,New Jersey,2006,Percent,0.046,N/A
34,New Jersey,2007,Percent,0.043,N/A
34,New Jersey,2015,Percent,0.056,N/A
34,New Jersey,2013,Percent,0.082,N/A
34,New Jersey,2014,Percent,0.066,N/A
34,New Jersey,2011,Percent,0.094,N/A
34,New Jersey,2012,Percent,0.095,N/A
34,New Jersey,2009,Percent,0.09,N/A
34,New Jersey,2010,Percent,0.096,N/A
34,New Jersey,2008,Percent,0.055,N/A
35,New Mexico,2008,Percent,0.045,N/A
35,New Mexico,2010,Percent,0.079,N/A
35,New Mexico,2009,Percent,0.068,N/A
35,New Mexico,2012,Percent,0.069,N/A
35,New Mexico,2011,Percent,0.075,N/A
35,New Mexico,2014,Percent,0.065,N/A
35,New Mexico,2013,Percent,0.069,N/A
35,New Mexico,2015,Percent,0.066,N/A
35,New Mexico,2007,Percent,0.035,N/A
35,New Mexico,2006,Percent,0.041,N/A
35,New Mexico,2016,Percent,0.067,N/A
35,New Mexico,2017,Percent,0.062,N/A
35,New Mexico,2020,Percent,0.084,N/A
35,New Mexico,2019,Percent,0.049,N/A
35,New Mexico,2018,Percent,0.049,N/A
35,New Mexico,2021,Percent,0.068,N/A
35,New Mexico,2022,Percent,0.04,N/A
35,New Mexico,2023,Percent,0.038,N/A
35,New Mexico,2024,Percent,0.041,N/A
36,New York,2024,Percent,0.043,N/A
36,New York,2023,Percent,0.042,N/A
36,New York,2022,Percent,0.043,N/A
36,New York,2021,Percent,0.069,N/A
36,New York,2018,Percent,0.041,N/A
36,New York,2019,Percent,0.04,N/A
36,New York,2020,Percent,0.1,N/A
36,New York,2017,Percent,0.047,N/A
36,New York,2016,Percent,0.048,N/A
36,New York,2006,Percent,0.046,N/A
36,New York,2007,Percent,0.046,N/A
36,New York,2015,Percent,0.053,N/A
36,New York,2014,Percent,0.063,N/A
36,New York,2013,Percent,0.077,N/A
36,New York,2011,Percent,0.083,N/A
36,New York,2010,Percent,0.086,N/A
36,New York,2012,Percent,0.085,N/A
36,New York,2009,Percent,0.084,N/A
36,New York,2008,Percent,0.054,N/A
37,North Carolina,2008,Percent,0.063,N/A
37,North Carolina,2009,Percent,0.104,N/A
37,North Carolina,2012,Percent,0.095,N/A
37,North Carolina,2010,Percent,0.108,N/A
37,North Carolina,2011,Percent,0.102,N/A
37,North Carolina,2013,Percent,0.079,N/A
37,North Carolina,2014,Percent,0.061,N/A
37,North Carolina,2015,Percent,0.057,N/A
37,North Carolina,2007,Percent,0.048,N/A
37,North Carolina,2006,Percent,0.048,N/A
37,North Carolina,2016,Percent,0.051,N/A
37,North Carolina,2017,Percent,0.046,N/A
37,North Carolina,2020,Percent,0.073,N/A
37,North Carolina,2019,Percent,0.039,N/A
37,North Carolina,2018,Percent,0.039,N/A
37,North Carolina,2021,Percent,0.048,N/A
37,North Carolina,2022,Percent,0.037,N/A
37,North Carolina,2023,Percent,0.035,N/A
37,North Carolina,2024,Percent,0.036,N/A
38,North Dakota,2024,Percent,0.024,N/A
38,North Dakota,2023,Percent,0.019,N/A
38,North Dakota,2022,Percent,0.021,N/A
38,North Dakota,2021,Percent,0.037,N/A
38,North Dakota,2018,Percent,0.026,N/A
38,North Dakota,2019,Percent,0.024,N/A
38,North Dakota,2020,Percent,0.051,N/A
38,North Dakota,2017,Percent,0.026,N/A
38,North Dakota,2016,Percent,0.032,N/A
38,North Dakota,2006,Percent,0.032,N/A
38,North Dakota,2007,Percent,0.031,N/A
38,North Dakota,2015,Percent,0.027,N/A
38,North Dakota,2014,Percent,0.028,N/A
38,North Dakota,2013,Percent,0.029,N/A
38,North Dakota,2011,Percent,0.035,N/A
38,North Dakota,2010,Percent,0.038,N/A
38,North Dakota,2012,Percent,0.031,N/A
38,North Dakota,2008,Percent,0.031,N/A
38,North Dakota,2009,Percent,0.041,N/A
39,Ohio,2009,Percent,0.102,N/A
39,Ohio,2008,Percent,0.066,N/A
39,Ohio,2012,Percent,0.072,N/A
39,Ohio,2010,Percent,0.1,N/A
39,Ohio,2011,Percent,0.086,N/A
39,Ohio,2013,Percent,0.075,N/A
39,Ohio,2014,Percent,0.057,N/A
39,Ohio,2015,Percent,0.049,N/A
39,Ohio,2007,Percent,0.056,N/A
39,Ohio,2006,Percent,0.054,N/A
39,Ohio,2016,Percent,0.049,N/A
39,Ohio,2017,Percent,0.05,N/A
39,Ohio,2020,Percent,0.081,N/A
39,Ohio,2019,Percent,0.041,N/A
39,Ohio,2018,Percent,0.046,N/A
39,Ohio,2021,Percent,0.051,N/A
39,Ohio,2022,Percent,0.04,N/A
39,Ohio,2023,Percent,0.035,N/A
39,Ohio,2024,Percent,0.043,N/A
40,Oklahoma,2024,Percent,0.033,N/A
40,Oklahoma,2023,Percent,0.032,N/A
40,Oklahoma,2022,Percent,0.03,N/A
40,Oklahoma,2021,Percent,0.038,N/A
40,Oklahoma,2018,Percent,0.034,N/A
40,Oklahoma,2019,Percent,0.033,N/A
40,Oklahoma,2020,Percent,0.061,N/A
40,Oklahoma,2017,Percent,0.043,N/A
40,Oklahoma,2016,Percent,0.049,N/A
40,Oklahoma,2006,Percent,0.041,N/A
40,Oklahoma,2007,Percent,0.041,N/A
40,Oklahoma,2015,Percent,0.042,N/A
40,Oklahoma,2014,Percent,0.045,N/A
40,Oklahoma,2013,Percent,0.053,N/A
40,Oklahoma,2010,Percent,0.069,N/A
40,Oklahoma,2011,Percent,0.059,N/A
40,Oklahoma,2012,Percent,0.052,N/A
40,Oklahoma,2008,Percent,0.037,N/A
40,Oklahoma,2009,Percent,0.067,N/A
41,Oregon,2009,Percent,0.111,N/A
41,Oregon,2008,Percent,0.065,N/A
41,Oregon,2012,Percent,0.087,N/A
41,Oregon,2011,Percent,0.096,N/A
41,Oregon,2010,Percent,0.107,N/A
41,Oregon,2013,Percent,0.079,N/A
41,Oregon,2014,Percent,0.069,N/A
41,Oregon,2015,Percent,0.057,N/A
41,Oregon,2007,Percent,0.052,N/A
41,Oregon,2006,Percent,0.053,N/A
41,Oregon,2016,Percent,0.049,N/A
41,Oregon,2017,Percent,0.041,N/A
41,Oregon,2020,Percent,0.076,N/A
41,Oregon,2019,Percent,0.037,N/A
41,Oregon,2018,Percent,0.042,N/A
41,Oregon,2021,Percent,0.052,N/A
41,Oregon,2022,Percent,0.042,N/A
41,Oregon,2023,Percent,0.037,N/A
41,Oregon,2024,Percent,0.042,N/A
42,Pennsylvania,2024,Percent,0.036,N/A
42,Pennsylvania,2023,Percent,0.034,N/A
42,Pennsylvania,2022,Percent,0.044,N/A
42,Pennsylvania,2021,Percent,0.063,N/A
42,Pennsylvania,2018,Percent,0.043,N/A
42,Pennsylvania,2019,Percent,0.044,N/A
42,Pennsylvania,2020,Percent,0.091,N/A
42,Pennsylvania,2017,Percent,0.049,N/A
42,Pennsylvania,2016,Percent,0.054,N/A
42,Pennsylvania,2006,Percent,0.045,N/A
42,Pennsylvania,2007,Percent,0.044,N/A
42,Pennsylvania,2015,Percent,0.051,N/A
42,Pennsylvania,2014,Percent,0.058,N/A
42,Pennsylvania,2010,Percent,0.084,N/A
42,Pennsylvania,2011,Percent,0.079,N/A
42,Pennsylvania,2012,Percent,0.079,N/A
42,Pennsylvania,2013,Percent,0.074,N/A
42,Pennsylvania,2008,Percent,0.053,N/A
42,Pennsylvania,2009,Percent,0.079,N/A
44,Rhode Island,2009,Percent,0.109,N/A
44,Rhode Island,2008,Percent,0.077,N/A
44,Rhode Island,2013,Percent,0.093,N/A
44,Rhode Island,2012,Percent,0.104,N/A
44,Rhode Island,2011,Percent,0.112,N/A
44,Rhode Island,2010,Percent,0.117,N/A
44,Rhode Island,2014,Percent,0.077,N/A
44,Rhode Island,2015,Percent,0.06,N/A
44,Rhode Island,2007,Percent,0.052,N/A
44,Rhode Island,2006,Percent,0.051,N/A
44,Rhode Island,2016,Percent,0.053,N/A
44,Rhode Island,2017,Percent,0.045,N/A
44,Rhode Island,2020,Percent,0.094,N/A
44,Rhode Island,2019,Percent,0.036,N/A
44,Rhode Island,2018,Percent,0.041,N/A
44,Rhode Island,2021,Percent,0.056,N/A
44,Rhode Island,2022,Percent,0.032,N/A
44,Rhode Island,2023,Percent,0.03,N/A
44,Rhode Island,2024,Percent,0.043,N/A
45,South Carolina,2024,Percent,0.041,N/A
45,South Carolina,2023,Percent,0.03,N/A
45,South Carolina,2022,Percent,0.032,N/A
45,South Carolina,2021,Percent,0.04,N/A
45,South Carolina,2018,Percent,0.034,N/A
45,South Carolina,2019,Percent,0.028,N/A
45,South Carolina,2020,Percent,0.062,N/A
45,South Carolina,2017,Percent,0.043,N/A
45,South Carolina,2016,Percent,0.048,N/A
45,South Carolina,2006,Percent,0.064,N/A
45,South Carolina,2007,Percent,0.056,N/A
45,South Carolina,2014,Percent,0.064,N/A
45,South Carolina,2015,Percent,0.06,N/A
45,South Carolina,2010,Percent,0.112,N/A
45,South Carolina,2011,Percent,0.104,N/A
45,South Carolina,2012,Percent,0.091,N/A
45,South Carolina,2013,Percent,0.076,N/A
45,South Carolina,2008,Percent,0.068,N/A
45,South Carolina,2009,Percent,0.115,N/A
46,South Dakota,2009,Percent,0.052,N/A
46,South Dakota,2008,Percent,0.03,N/A
46,South Dakota,2013,Percent,0.038,N/A
46,South Dakota,2012,Percent,0.044,N/A
46,South Dakota,2011,Percent,0.048,N/A
46,South Dakota,2010,Percent,0.051,N/A
46,South Dakota,2015,Percent,0.031,N/A
46,South Dakota,2014,Percent,0.034,N/A
46,South Dakota,2007,Percent,0.029,N/A
46,South Dakota,2006,Percent,0.031,N/A
46,South Dakota,2016,Percent,0.028,N/A
46,South Dakota,2017,Percent,0.033,N/A
46,South Dakota,2020,Percent,0.046,N/A
46,South Dakota,2019,Percent,0.033,N/A
46,South Dakota,2018,Percent,0.03,N/A
46,South Dakota,2021,Percent,0.031,N/A
46,South Dakota,2022,Percent,0.021,N/A
46,South Dakota,2023,Percent,0.02,N/A
46,South Dakota,2024,Percent,0.018,N/A
47,Tennessee,2024,Percent,0.034,N/A
47,Tennessee,2023,Percent,0.033,N/A
47,Tennessee,2022,Percent,0.034,N/A
47,Tennessee,2021,Percent,0.043,N/A
47,Tennessee,2018,Percent,0.035,N/A
47,Tennessee,2019,Percent,0.034,N/A
47,Tennessee,2020,Percent,0.075,N/A
47,Tennessee,2017,Percent,0.037,N/A
47,Tennessee,2016,Percent,0.048,N/A
47,Tennessee,2006,Percent,0.052,N/A
47,Tennessee,2007,Percent,0.048,N/A
47,Tennessee,2014,Percent,0.067,N/A
47,Tennessee,2015,Percent,0.058,N/A
47,Tennessee,2010,Percent,0.098,N/A
47,Tennessee,2011,Percent,0.093,N/A
47,Tennessee,2012,Percent,0.08,N/A
47,Tennessee,2013,Percent,0.078,N/A
47,Tennessee,2008,Percent,0.066,N/A
47,Tennessee,2009,Percent,0.105,N/A
48,Texas,2009,Percent,0.075,N/A
48,Texas,2008,Percent,0.049,N/A
48,Texas,2013,Percent,0.062,N/A
48,Texas,2012,Percent,0.068,N/A
48,Texas,2011,Percent,0.079,N/A
48,Texas,2010,Percent,0.082,N/A
48,Texas,2015,Percent,0.045,N/A
48,Texas,2014,Percent,0.051,N/A
48,Texas,2007,Percent,0.044,N/A
48,Texas,2006,Percent,0.049,N/A
48,Texas,2016,Percent,0.046,N/A
48,Texas,2017,Percent,0.043,N/A
48,Texas,2020,Percent,0.076,N/A
48,Texas,2019,Percent,0.035,N/A
48,Texas,2018,Percent,0.039,N/A
48,Texas,2021,Percent,0.057,N/A
48,Texas,2022,Percent,0.039,N/A
48,Texas,2023,Percent,0.039,N/A
48,Texas,2024,Percent,0.041,N/A
49,Utah,2024,Percent,0.032,N/A
49,Utah,2023,Percent,0.026,N/A
49,Utah,2022,Percent,0.023,N/A
49,Utah,2021,Percent,0.027,N/A
49,Utah,2018,Percent,0.031,N/A
49,Utah,2020,Percent,0.047,N/A
49,Utah,2019,Percent,0.026,N/A
49,Utah,2017,Percent,0.032,N/A
49,Utah,2016,Percent,0.034,N/A
49,Utah,2006,Percent,0.029,N/A
49,Utah,2007,Percent,0.026,N/A
49,Utah,2014,Percent,0.038,N/A
49,Utah,2015,Percent,0.035,N/A
49,Utah,2010,Percent,0.081,N/A
49,Utah,2011,Percent,0.069,N/A
49,Utah,2012,Percent,0.057,N/A
49,Utah,2013,Percent,0.047,N/A
49,Utah,2008,Percent,0.033,N/A
49,Utah,2009,Percent,0.078,N/A
50,Vermont,2009,Percent,0.069,N/A
50,Vermont,2008,Percent,0.045,N/A
50,Vermont,2013,Percent,0.044,N/A
50,Vermont,2012,Percent,0.05,N/A
50,Vermont,2011,Percent,0.056,N/A
50,Vermont,2010,Percent,0.064,N/A
50,Vermont,2015,Percent,0.037,N/A
50,Vermont,2014,Percent,0.041,N/A
50,Vermont,2007,Percent,0.039,N/A
50,Vermont,2006,Percent,0.037,N/A
50,Vermont,2016,Percent,0.033,N/A
50,Vermont,2017,Percent,0.03,N/A
50,Vermont,2019,Percent,0.024,N/A
50,Vermont,2020,Percent,0.056,N/A
50,Vermont,2018,Percent,0.027,N/A
50,Vermont,2021,Percent,0.034,N/A
50,Vermont,2022,Percent,0.026,N/A
50,Vermont,2023,Percent,0.02,N/A
50,Vermont,2024,Percent,0.023,N/A
51,Virginia,2024,Percent,0.029,N/A
51,Virginia,2023,Percent,0.029,N/A
51,Virginia,2022,Percent,0.029,N/A
51,Virginia,2021,Percent,0.039,N/A
51,Virginia,2018,Percent,0.03,N/A
51,Virginia,2020,Percent,0.062,N/A
51,Virginia,2019,Percent,0.028,N/A
51,Virginia,2017,Percent,0.038,N/A
51,Virginia,2016,Percent,0.04,N/A
51,Virginia,2006,Percent,0.03,N/A
51,Virginia,2007,Percent,0.031,N/A
51,Virginia,2014,Percent,0.052,N/A
51,Virginia,2015,Percent,0.044,N/A
51,Virginia,2010,Percent,0.071,N/A
51,Virginia,2011,Percent,0.064,N/A
51,Virginia,2012,Percent,0.059,N/A
51,Virginia,2013,Percent,0.057,N/A
51,Virginia,2008,Percent,0.04,N/A
51,Virginia,2009,Percent,0.069,N/A
53,Washington,2009,Percent,0.094,N/A
53,Washington,2008,Percent,0.054,N/A
53,Washington,2013,Percent,0.07,N/A
53,Washington,2012,Percent,0.082,N/A
53,Washington,2011,Percent,0.092,N/A
53,Washington,2010,Percent,0.099,N/A
53,Washington,2015,Percent,0.057,N/A
53,Washington,2014,Percent,0.062,N/A
53,Washington,2007,Percent,0.046,N/A
53,Washington,2006,Percent,0.049,N/A
53,Washington,2016,Percent,0.054,N/A
53,Washington,2017,Percent,0.048,N/A
53,Washington,2019,Percent,0.043,N/A
53,Washington,2020,Percent,0.084,N/A
53,Washington,2018,Percent,0.045,N/A
53,Washington,2021,Percent,0.052,N/A
53,Washington,2022,Percent,0.042,N/A
53,Washington,2023,Percent,0.041,N/A
53,Washington,2024,Percent,0.045,N/A
54,West Virginia,2024,Percent,0.041,N/A
54,West Virginia,2023,Percent,0.039,N/A
54,West Virginia,2022,Percent,0.039,N/A
54,West Virginia,2021,Percent,0.05,N/A
54,West Virginia,2018,Percent,0.053,N/A
54,West Virginia,2020,Percent,0.083,N/A
54,West Virginia,2019,Percent,0.049,N/A
54,West Virginia,2017,Percent,0.052,N/A
54,West Virginia,2016,Percent,0.06,N/A
54,West Virginia,2006,Percent,0.045,N/A
54,West Virginia,2007,Percent,0.042,N/A
54,West Virginia,2014,Percent,0.065,N/A
54,West Virginia,2015,Percent,0.067,N/A
54,West Virginia,2010,Percent,0.084,N/A
54,West Virginia,2011,Percent,0.078,N/A
54,West Virginia,2012,Percent,0.073,N/A
54,West Virginia,2013,Percent,0.067,N/A
54,West Virginia,2008,Percent,0.042,N/A
54,West Virginia,2009,Percent,0.076,N/A
55,Wisconsin,2009,Percent,0.087,N/A
55,Wisconsin,2008,Percent,0.048,N/A
55,Wisconsin,2013,Percent,0.068,N/A
55,Wisconsin,2012,Percent,0.069,N/A
55,Wisconsin,2011,Percent,0.075,N/A
55,Wisconsin,2010,Percent,0.085,N/A
55,Wisconsin,2015,Percent,0.046,N/A
55,Wisconsin,2014,Percent,0.055,N/A
55,Wisconsin,2007,Percent,0.048,N/A
55,Wisconsin,2006,Percent,0.047,N/A
55,Wisconsin,2016,Percent,0.041,N/A
55,Wisconsin,2017,Percent,0.033,N/A
55,Wisconsin,2019,Percent,0.033,N/A
55,Wisconsin,2020,Percent,0.063,N/A
55,Wisconsin,2018,Percent,0.03,N/A
55,Wisconsin,2021,Percent,0.038,N/A
55,Wisconsin,2022,Percent,0.029,N/A
55,Wisconsin,2023,Percent,0.03,N/A
55,Wisconsin,2024,Percent,0.03,N/A
56,Wyoming,2024,Percent,0.032,N/A
56,Wyoming,2023,Percent,0.029,N/A
56,Wyoming,2022,Percent,0.036,N/A
56,Wyoming,2021,Percent,0.045,N/A
56,Wyoming,2018,Percent,0.041,N/A
56,Wyoming,2020,Percent,0.058,N/A
56,Wyoming,2019,Percent,0.036,N/A
56,Wyoming,2017,Percent,0.042,N/A
56,Wyoming,2016,Percent,0.053,N/A
56,Wyoming,2006,Percent,0.032,N/A
56,Wyoming,2007,Percent,0.028,N/A
56,Wyoming,2014,Percent,0.043,N/A
56,Wyoming,2015,Percent,0.042,N/A
56,Wyoming,2010,Percent,0.07,N/A
56,Wyoming,2011,Percent,0.061,N/A
56,Wyoming,2012,Percent,0.054,N/A
56,Wyoming,2013,Percent,0.047,N/A
56,Wyoming,2008,Percent,0.031,N/A
56,Wyoming,2009,Percent,0.063,N/A
